SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
119,-91.96438,14.69428,Ramon,Coatepeque,Quezaltenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
120,-89.38796,20.03313,Rancho Nohcacab,Oxkutzcab,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
121,-89.28195,17.78163,Rio Azul,Melchor de Mencos,Peten,Guatemala,2,Ref. Adams 1999 Rio Azul p. 30,,X,X,X,X,X,,,,X,X,
122,-91.92325,14.4039,Rio Jesus,Champerico,Retalhuleu,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
123,-90.34674,15.39614,Sakajut,San Juan Chamelco,Alta Verapaz,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
124,-92.10446,14.65243,San Antonio Naranjo,Coatepeque,Quezaltenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
125,-89.49666,14.6393,San Esteban,Chiquimula,Chiquimula,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
126,-87.88591381,21.44573841,San Fernando,Tizimin,Yucatan,Mexico,2,Ref. Kepecs 1999,,,,,,,,,,X,X,X
127,-89.5328,20.42212,San Francisco Ticul,Ticul,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
128,-90.02757,14.98023,San Jose Apantes,San Agustin Acasaguastlan,El Progreso,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
129,-89.87043,14.66864,San Pedro Pinula,San Pedro Pinula,Jalapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
130,-87.99056902,21.36745363,Santa Pilar,Tizimin,Yucatan,Mexico,2,Ref. Kepecs 1999,,,,,,,,,,X,X,X
131,-89.28134,15.55142,Santa Rosa,El Estor,Izabal,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
132,-89.59876667,19.77256667,Santa Rosa Xtampak,Hopelchen,Campeche,Mexico,2,Ref. Mayer 2006,,,,,,,,,,X,X,X
133,-89.65209,20.17784,Sayil,Hopelchen,Campeche,Mexico,2,Ref. Witschey 2009,,,,,,X,X,,,X,X,
134,-89.48541,15.46689,Sepila,El Estor,Izabal,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
135,-91.45085,14.10995,Sin Cabezas,Tiquisate,Escuintla,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,X,,,,,,,X,X,
136,-89.88882,20.22192,Sisila,Calkini,Campeche,Mexico,2,Ref. Williams-Beck 1998,,,,,,,,,,X,X,X
137,-91.73101,14.63344,Takalik Abaj,El Asintal,Retalhuleu,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,X,X,X,X,X,X,,,X,X,
138,-89.89274,15.29913,Tampoma,Panzos,Alta Verapaz,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
139,-89.90035,16.93987,Tayasal,Flores,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,X,X,X,X,X,X,X,X,X,X,
140,-91.64891687,15.72088354,Tenam,Jacaltenango,Huehuetenango,Guatemala,2,Ref. Borgstede 2002,,,,,,,,,,X,X,X
141,-95.43124,18.45381,Tres Zapotes,Santiago Tuxtla,Veracruz,Mexico,2,Ref. Witschey 2009,X,X,X,X,X,X,X,,,X,X,
142,-87.42876667,20.21431667,Tulum,Solidaridad,Quintana Roo,Mexico,2,Ref. Mayer 2006,,,,,,,X,X,,X,X,
143,-89.63775,17.39795,Uaxactun,Flores,Peten,Guatemala,2,Ref. Mayer 2006,,X,X,X,X,X,X,,,X,X,
144,-89.26942107,21.1257872,Uci,Motul,Yucatan,Mexico,2,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,X,X,X
145,-91.17200209,15.02339475,Utatlan (Gumarcaj),San Antonio Ilotenango,Quiche,Guatemala,2,Ref. Kelly 1996,,,,,,,,X,,X,X,
146,-91.64153,15.05572,Xacana,Huitan,Quezaltenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
147,-89.9932,14.61871,Xalapan,Jalapa,Jalapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
148,-90.01023333,20.17108333,Xcalumkin,Hecelchakan,Campeche,Mexico,2,Ref. Mayer 2006,,,,,,,,,,X,X,X
149,-90.06603,20.16472,Xcombec,Hecelchakan,Campeche,Mexico,2,Ref. Witschey 2009,,,,,,,,,,X,X,X
150,-89.53748,20.29834,Xcorralche,Ticul,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
151,-89.40716667,18.51083333,Xpuhil 1,Hopelchen,Campeche,Mexico,2,Ref. Mayer 2006,,,,,X,X,X,,,X,X,
152,-89.40645042,18.49872681,Xpuhil II,Hopelchen,Campeche,Mexico,2,Ref. Mayer 2003,,,,,X,X,X,,,X,X,
153,-88.38565229,21.01427481,Xuenkal,Espita,Yucatan,Mexico,2,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,X,X,X
154,-89.14145,17.08926,Xunantunich,,Cayo,Belize,2,Ref. Witschey 2009,,,,,X,X,X,,,X,X,
155,-91.13294,15.27387,Xutixtiox,Sacapulas,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
156,-89.49737,20.18424,Yakaxiu (Yakalxiu),Oxkutzcab,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
157,-88.50250158,21.40809333,Yalsihon,Dzilam Gonzalez,Yucatan,Mexico,2,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,X,X,X
158,-89.37645,16.85435,Yaltutud,Santa Ana,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
159,-89.71244,20.12326,Yaxche-Xlabpak,Hopelchen,Campeche,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
160,-89.70345385,20.75814043,Yaxcopoil,Uman,Yucatan,Mexico,2,Ref. Garza and Kurjack 1980,,,,,X,X,,,,X,X,
161,-89.39785,17.0715,Yaxha,Flores,Peten,Guatemala,2,Ref. Mayer 2009,,X,X,X,X,X,,,,X,X,
162,-89.48587,20.2431,Yaxhom,Oxkutzcab,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,,,X,X,X
163,-88.6627239,20.53996671,Yaxuna,Yaxcaba,Yucatan,Mexico,2,Ref. Brown C T 2004,,X,X,X,X,X,X,X,X,X,X,
164,-90.85862,15.00288,Zacualpa,Joyabaj,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,X,,,,,,,X,X,
165,-91.49267821,15.33338349,Zaculeu,Zaculeu,Huehuetenango,Guatemala,2,Ref. Kelly 1996,,,,,,,X,X,,X,X,
166,-91.1925,18.72474,A Chijuajal Chico,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
167,-91.27059,18.67748,A Chivajal Grande,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
168,-91.23154,18.76995,A Lagartero,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
169,-90.66241,17.82829,A. Barillo,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
170,-91.68705,18.02265,A. Chumpaito,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
171,-92.02003,18.39481,A. del Palmar,Palizada,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
172,-91.62532,17.98835,A. San Joaquin,Pendiente,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
173,-89.45191922,20.81519361,Acanceh,Acanceh,Yucatan,Mexico,3,Ref. Garza and Kurjack 1980,,,X,X,X,X,X,X,X,X,,
174,-90.3254,19.90093333,Acanmul,Campeche,Campeche,Mexico,3,Ref. Mayer 2006,,,,,,,,,,,,
175,-91.97734,14.35096,Acapan,Champerico,Retalhuleu,Guatemala,3,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
176,-91.04496,15.39696,Acihtz o Asich,Cunen,Quiche,Guatemala,3,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
177,-90.31883,14.73487,Agua Caliente,Sanarate,El Progreso,Guatemala,3,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
178,-91.95268264,18.60135102,Aguacatal,Pendiente,Campeche,Mexico,3,Ref. Matheny 1970,,,,,,,,,,,,
179,-92.12055,18.17603,Aguacate,Palizada,Campeche,Mexico,3,Ref. Muller 1960,,,,,,,,,,,,
